%#        Time[ms]        X[pixel],        Y[pixel],        Z[pixel],  dX/dt[pixel/s],  dY/dt[pixel/s],  dZ/dt[pixel/s]
 4400, 66.21, 38.52, 0, -5.6586, 3.6157, 0
 4425, 65.98, 38.33, 0, -6.035, 4.1236, 0
 4450, 65.8, 38.19, 0, -3.8226, 3.0921, 0
 4475, 65.8, 38.19, 0, -3.8226, 3.0921, 0
 4500, 65.66, 37.96, 0, -2.9138, 2.1256, 0
 4525, 65.61, 37.71, 0, -1.1449, 2.7564, 0
 4550, 65.61, 37.71, 0, -1.1449, 2.7564, 0
 4575, 65.61, 37.24, 0, 0.3633, 2.3664, 0
 4600, 65.62, 36.61, 0, 0.3556, 4.0665, 0
 4625, 65.62, 36.61, 0, 0.3556, 4.0665, 0
 4650, 65.62, 35.97, 0, 0.1436, 4.5161, 0
 4675, 65.61, 35.44, 0, -1.4192, 2.6502, 0
 4700, 65.61, 35.44, 0, -1.4192, 2.6502, 0
 4725, 65.52, 35.03, 0, -2.4465, 2.0524, 0
 4750, 65.39, 34.67, 0, -3.5496, 0.5721, 0
 4775, 65.27, 34.36, 0, -2.9287, 0.738, 0
 4800, 65.27, 34.36, 0, -2.9287, 0.738, 0
 4825, 65.18, 34.17, 0, -2.1625, 0.093, 0
 4850, 65.09, 34.03, 0, -1.7765, -0.0524, 0
 4875, 65.09, 34.03, 0, -1.7765, -0.0524, 0
 4900, 65.03, 33.99, 0, -1.3641, -0.6073, 0
 4925, 64.98, 34.06, 0, -1.3776, -1.9057, 0
 4950, 64.96, 34.14, 0, -0.0243, -0.8708, 0
 4975, 64.96, 34.14, 0, -0.0243, -0.8708, 0
 5000, 65, 34.18, 0, 1.6384, 0.3399, 0
 5025, 65.09, 34.15, 0, 2.1931, 1.3809, 0
 5050, 65.09, 34.15, 0, 2.1931, 1.3809, 0
 5075, 65.16, 34.15, 0, 1.9825, 1.2005, 0
 5100, 65.25, 34.38, 0, 1.8436, 0.6319, 0
 5125, 65.3, 35.08, 0, 1.2471, -0.2418, 0
 5150, 65.3, 35.08, 0, 1.2471, -0.2418, 0
 5175, 65.34, 36.09, 0, 0.6831, -2.0746, 0
 5200, 65.34, 36.09, 0, 0.6831, -2.0746, 0
 5225, 65.37, 36.91, 0, 1.3117, -1.9744, 0
 5250, 65.43, 37.48, 0, 1.1799, -2.5702, 0
 5275, 65.45, 37.85, 0, 0.3997, -0.6696, 0
 5300, 65.45, 37.85, 0, 0.3997, -0.6696, 0
 5325, 65.45, 38.05, 0, -0.5032, 0.5468, 0
 5350, 65.41, 38.27, 0, -1.1893, 0.7403, 0
 5375, 65.41, 38.27, 0, -1.1893, 0.7403, 0
 5400, 65.39, 38.44, 0, -0.1783, 0.9692, 0
 5425, 65.41, 38.52, 0, 0.8273, 1.0521, 0
 5450, 65.43, 38.54, 0, 0.6388, 0.8506, 0
 5475, 65.43, 38.54, 0, 0.6388, 0.8506, 0
 5500, 65.43, 38.56, 0, -0.7298, 0.8442, 0
 5525, 65.43, 38.56, 0, -0.7298, 0.8442, 0
